YearsCodePro,JobSatisfaction,CodingLanguageNum,OfficeStackAsyncNum,OpSysProfessionalNum,NEWCollabToolsNum,WorkExp,DatabaseNum,PlatformNum,OfficeStackSyncNum,avg_score,ConvertedCompYearly,LogComp,Full-time Employment,Age_encoded,EdLevel_encoded,RemoteWork_encoded,Continent_encoded
10.0,0,6.0,6.0,4.0,5.0,9.0,5.0,1.0,5.0,3.0,65431.0,11.088751431256089,1,1,1,2,1
4.0,0,8.0,6.0,4.0,1.0,4.0,6.0,3.0,7.0,3.375,6543.0,8.78615105486974,1,1,1,1,1
4.0,0,4.0,3.0,1.0,5.0,5.0,1.0,2.0,6.0,3.0,57828.0,10.965228366428333,1,1,6,0,2
20.0,2,5.0,3.0,1.0,6.0,20.0,5.0,2.0,1.0,2.875,2463.0,7.809135398120538,1,2,1,1,2
15.0,0,11.0,1.0,5.0,4.0,16.0,10.0,2.0,4.0,3.5,125000.0,11.736069016284436,1,2,2,2,3
11.0,0,4.0,3.0,3.0,2.0,11.0,2.0,0.0,2.0,3.125,4307.0,8.36799688505411,1,2,2,0,2
11.0,0,4.0,2.0,1.0,3.0,11.0,1.0,1.0,1.0,3.375,175000.0,12.072541252905651,1,2,2,2,3
11.0,0,5.0,2.0,5.0,7.0,13.0,5.0,0.0,4.0,3.375,104948.0,11.561220268373534,1,2,6,0,2
5.0,2,3.0,5.0,1.0,2.0,10.0,4.0,2.0,2.0,2.875,42836.0,10.665134149520766,1,1,4,0,2
12.0,0,16.0,2.0,3.0,13.0,13.0,8.0,3.0,10.0,3.375,44978.0,10.713928760318431,1,2,2,2,2
14.0,2,6.0,2.0,2.0,5.0,14.0,3.0,1.0,4.0,2.75,2356.0,7.764720544771477,1,2,6,2,2
5.0,0,4.0,1.0,3.0,1.0,5.0,1.0,2.0,3.0,3.0,68537.0,11.135129024409384,1,1,2,2,2
15.0,2,3.0,5.0,2.0,1.0,15.0,0.0,1.0,2.0,2.875,6640.0,8.80086724247048,1,2,2,0,2
3.0,0,2.0,4.0,2.0,2.0,3.0,5.0,1.0,4.0,3.5,269.0,5.594711379601839,1,0,5,2,1
40.0,0,2.0,2.0,1.0,1.0,40.0,0.0,0.0,2.0,3.25,155280.0,11.952985217842892,1,4,4,0,2
6.0,0,4.0,0.0,2.0,1.0,6.0,1.0,1.0,1.0,3.625,64254.0,11.07059925762893,1,1,2,1,2
11.0,2,11.0,3.0,3.0,3.0,14.0,2.0,2.0,3.0,2.25,117798.0,11.676726572126803,1,1,1,2,2
4.0,0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,7876.0,8.971575439759016,1,0,1,0,1
6.0,0,2.0,0.0,2.0,1.0,9.0,0.0,0.0,1.0,3.25,19152.0,9.860162427797754,1,2,2,1,1
5.0,1,7.0,6.0,2.0,6.0,5.0,4.0,1.0,10.0,4.0,18190.0,9.808627271512169,1,1,1,0,1
5.0,2,6.0,0.0,1.0,4.0,5.0,1.0,1.0,2.0,2.875,69608.0,11.15063478224586,1,1,2,0,2
7.0,1,3.0,3.0,1.0,1.0,7.0,2.0,0.0,1.0,4.125,59970.0,11.001599716162556,1,1,2,2,2
0.5,2,8.0,1.0,1.0,6.0,1.0,8.0,2.0,3.0,2.75,5715.0,8.65084957622891,1,0,1,1,5
3.0,2,6.0,0.0,4.0,1.0,3.0,3.0,0.0,1.0,2.625,41765.0,10.639813947190008,1,1,5,2,2
5.0,0,10.0,1.0,1.0,10.0,5.0,2.0,2.0,1.0,3.375,77644.0,11.259889555790982,1,0,1,0,2
15.0,0,3.0,6.0,1.0,3.0,13.0,2.0,1.0,3.0,3.5,215000.0,12.2783933071098,1,1,1,0,3
3.0,2,2.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,2.125,47852.0,10.775868193290794,1,1,2,0,2
15.0,1,4.0,1.0,1.0,3.0,15.0,1.0,1.0,3.0,3.875,62069.0,11.03600194843532,1,3,2,2,2
14.0,0,8.0,4.0,1.0,3.0,14.0,1.0,0.0,2.0,3.125,140000.0,11.84939770159144,1,1,2,0,3
5.0,0,6.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,3.5,51403.0,10.847451815498795,1,1,6,2,2
15.0,0,5.0,4.0,2.0,4.0,15.0,4.0,5.0,3.0,3.5,203470.0,12.223273852849948,1,1,2,2,2
3.0,2,3.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,2.625,117798.0,11.676726572126803,1,1,4,2,2
2.0,0,5.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,3.125,19843.0,9.895606579085252,1,1,2,1,5
2.0,2,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.375,64254.0,11.07059925762893,1,1,1,0,2
1.0,2,5.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.75,33733.0,10.426231865695646,1,0,2,1,2
2.0,2,4.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.875,12117.0,9.402364704231523,1,1,1,2,1
2.0,0,6.0,0.0,1.0,2.0,15.0,1.0,2.0,2.0,3.25,90000.0,11.407564949312402,1,2,2,2,3
15.0,0,7.0,6.0,2.0,7.0,21.0,1.0,0.0,5.0,3.5,50752.0,10.83470630499452,1,2,2,0,2
7.0,0,2.0,2.0,3.0,6.0,7.0,0.0,1.0,2.0,3.125,165974.0,12.019586428565445,1,1,1,0,3
20.0,0,7.0,1.0,6.0,9.0,20.0,4.0,1.0,6.0,3.25,40966.0,10.6204977333606,1,4,4,0,2
9.0,1,5.0,3.0,1.0,1.0,27.0,3.0,1.0,4.0,4.125,192000.0,12.165250651009918,1,2,1,2,3
